p (Variables),Noise Type,Variance Type,SHD
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,3
4,Gaussian,Fixed,2
4,Gaussian,Fixed,3
4,Gaussian,Fixed,4
4,Gaussian,Fixed,2
4,Gaussian,Fixed,4
4,Gaussian,Fixed,2
4,Gaussian,Fixed,3
4,Gaussian,Fixed,5
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,3
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,3
4,Gaussian,Fixed,3
4,Gaussian,Fixed,4
4,Gaussian,Fixed,4
4,Gaussian,Fixed,2
4,Uniform,Different,4
4,Uniform,Different,6
4,Uniform,Different,4
4,Uniform,Different,3
4,Uniform,Different,3
4,Uniform,Different,2
4,Uniform,Different,3
4,Uniform,Different,3
4,Uniform,Different,1
4,Uniform,Different,2
4,Uniform,Different,3
4,Uniform,Different,4
4,Uniform,Different,0
